date,available,total,average_price
2022-11-07,f,18159,244.4183
2022-11-09,f,18172,244.3706
2022-10-30,f,18111,244.3643
2022-08-17,f,14974,244.3514
2022-11-17,f,18145,244.3441
2022-10-11,f,18197,244.2482
2022-11-08,f,18152,244.2219
2022-10-19,f,18195,244.2200
2022-07-18,f,15955,244.2147
2022-09-08,f,18231,244.2042
2022-11-14,f,18138,244.1510
2022-08-23,f,14772,244.1201
2022-10-18,f,18167,244.0213
2022-12-01,f,18158,244.0133
2022-09-26,f,18275,243.9587
2022-11-16,f,18148,243.9242
2022-08-24,f,14744,243.8767
2022-09-19,f,18228,243.8099
2022-11-15,f,18142,243.7342
2022-10-26,f,18121,243.7089
2022-05-12,f,14964,243.7072
2022-10-24,f,18131,243.6970
2022-07-13,f,16016,243.6810
2022-09-11,f,18219,243.6183
2022-09-28,f,18246,243.6161
2022-09-27,f,18252,243.5587
2022-10-31,f,18103,243.5399
2022-07-11,f,16010,243.5203
2022-09-20,f,18202,243.4817
2022-10-25,f,18117,243.3932
2022-11-30,f,18142,243.3446
2022-11-28,f,18142,243.2868
2022-09-21,f,18187,243.2613
2022-08-28,f,14691,243.2462
2022-11-29,f,18139,243.1228
2022-09-14,f,18236,242.9579
2022-11-01,f,18115,242.9114
2022-06-12,f,16400,242.8341
2022-07-12,f,15994,242.7201
2022-09-07,f,18233,242.6920
2022-09-06,f,18226,242.6271
2022-09-12,f,18202,242.6023
2022-07-05,f,16102,242.5810
2022-08-31,f,14477,242.5602
2022-09-13,f,18221,242.5557
2022-08-30,f,14528,242.4774
2022-08-29,f,14575,242.4491
2022-06-23,f,16000,242.3485
2022-07-06,f,16056,242.2427
2022-03-13,f,17034,242.1081
2022-04-02,f,20063,241.9514
2022-06-16,f,16140,241.7581
2022-06-26,f,15941,241.6336
2022-03-17,f,16281,241.5851
2022-06-19,f,15939,240.9530
2022-06-30,f,16254,240.7820
2022-05-22,f,13855,240.7738
2022-03-24,f,14786,240.5552
2022-05-15,f,14768,240.4124
2022-03-20,f,15545,240.3862
2022-06-09,f,16469,240.3219
2022-04-14,f,17875,240.2011
2022-05-26,f,13726,240.0615
2022-03-27,f,13821,240.0471
2022-04-01,f,20272,239.9738
2022-04-21,f,16983,239.3403
2022-06-15,f,16060,239.1922
2022-05-30,f,13349,239.1377
2022-06-22,f,15862,239.0704
